Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,-3.125,-3.125,-3.125,-3.125,-3.125,-3.125
0.02,0,-3.125,-3.125,-3.125,0,-3.125
0.04,0,-3.125,-3.125,-3.125,0,-3.125
0.06,0,-3.125,-3.125,-3.125,0,-3.125
0.08,0,-3.125,-3.125,-3.125,0,-3.125
0.1,0,-3.125,-3.125,-3.125,0,-3.125
0.12,0,-3.125,-3.125,-3.125,0,-3.125
0.14,0,-3.125,-3.125,-3.125,0,-3.125
0.16,0,-3.125,0,-3.125,0,-3.125
0.18,0,-3.125,0,-3.125,0,-3.125
0.2,0,-3.125,-3.125,-3.125,-3.125,-3.125
0.22,0,-3.125,-3.125,-3.125,-3.125,-3.125
0.24,0,-3.125,0,-3.125,-3.125,-3.125
0.26,0,-3.125,-3.125,-3.125,-3.125,-3.125
0.28,0,-3.125,-3.125,-3.125,0,-3.125
0.3,0,-3.125,-3.125,-3.125,-3.125,-3.125
0.32,0,-3.125,0,-3.125,-3.125,-3.125
0.34,0,-3.125,0,-3.125,0,-3.125
0.36,0,-3.125,0,0,0,-3.125
0.38,0,-3.125,0,0,0,-3.125
0.4,0,-3.125,0,-3.125,-3.125,-3.125
0.42,0,-3.125,0,-3.125,0,-3.125
0.44,0,0,0,0,0,0
0.46,-3.125,0,0,-3.125,0,0
0.48,-3.125,3.125,0,-3.125,3.125,-3.125
0.5,-6.25,3.125,0,-6.25,6.25,-3.125
0.52,-6.25,3.125,0,-6.25,6.25,-6.25
0.54,-9.375,-3.125,-3.125,-9.375,3.125,-3.125
0.56,-12.5,0,-3.125,-6.25,0,-6.25
0.58,-12.5,-3.125,-9.375,-9.375,-3.125,-6.25
0.6,-9.375,-3.125,-9.375,-9.375,0,-12.5
0.62,-9.375,-6.25,-9.375,-12.5,-3.125,-6.25
0.64,-6.25,-6.25,-6.25,-6.25,-3.125,-6.25
0.66,-6.25,-3.125,-3.125,-3.125,-6.25,-3.125
0.68,0,0,6.25,6.25,0,6.25
0.7,3.125,6.25,15.625,15.625,0,15.625
0.72,0,9.375,12.5,15.625,-3.125,18.75
0.74,-6.25,9.375,9.375,15.625,-6.25,18.75
0.76,-18.75,12.5,3.125,15.625,-12.5,21.875
0.78,-15.625,9.375,3.125,12.5,-9.375,15.625
0.8,-15.625,12.5,9.375,18.75,0,21.875
0.82,-21.875,6.25,3.125,9.375,0,9.375
0.84,-18.75,-3.125,-3.125,0,0,-3.125
0.86,-6.25,0,0,-3.125,6.25,-6.25
0.88,12.5,-9.375,-9.375,-18.75,6.25,-28.125
0.9,15.625,-12.5,-12.5,-21.875,6.25,-43.75
0.92,-15.625,-9.375,-12.5,-18.75,0,-31.25
0.94,-18.75,-9.375,-12.5,-12.5,-3.125,-9.375
0.96,-9.375,-6.25,-9.375,-9.375,-3.125,-9.375
0.98,-6.25,-6.25,-9.375,-9.375,-3.125,-6.25
1,-12.5,-3.125,-9.375,-6.25,0,-3.125
1.02,-15.625,-6.25,-9.375,-9.375,3.125,-9.375
1.04,-15.625,-6.25,-12.5,-12.5,3.125,-9.375
1.06,-15.625,-6.25,-15.625,-15.625,0,-12.5
1.08,-12.5,-6.25,-15.625,-12.5,3.125,-12.5
1.1,-9.375,-6.25,-15.625,-12.5,3.125,-12.5
1.12,-3.125,-6.25,-9.375,-9.375,0,-15.625
1.14,3.125,-6.25,-6.25,-6.25,0,-3.125
1.16,3.125,-6.25,-6.25,-9.375,0,6.25
1.18,3.125,-3.125,-3.125,-3.125,0,0
1.2,3.125,0,3.125,3.125,-3.125,-3.125
1.22,6.25,0,6.25,6.25,-6.25,6.25
1.24,6.25,0,9.375,9.375,-3.125,9.375
1.26,3.125,3.125,9.375,9.375,0,12.5
1.28,9.375,12.5,15.625,18.75,3.125,18.75
1.3,6.25,3.125,3.125,6.25,0,28.125
1.32,3.125,0,3.125,3.125,0,6.25
1.34,6.25,9.375,12.5,15.625,0,-15.625
1.36,3.125,0,3.125,3.125,-3.125,3.125
1.38,0,0,3.125,3.125,-3.125,3.125
1.4,0,3.125,9.375,3.125,-3.125,9.375
1.42,0,6.25,12.5,6.25,-3.125,12.5
1.44,3.125,6.25,15.625,-3.125,-6.25,15.625
1.46,3.125,9.375,21.875,3.125,-9.375,25
1.48,0,9.375,21.875,15.625,-9.375,56.25
1.5,0,34.375,56.25,59.375,-9.375,6.25
1.52,3.125,40.625,68.75,71.875,-12.5,53.125
1.54,50,28.125,50,50,-12.5,128.125
1.56,253.125,18.75,43.75,37.5,-9.375,-9.375
1.58,53.125,40.625,68.75,62.5,-3.125,81.25
1.6,3.125,40.625,68.75,59.375,3.125,62.5
1.62,84.375,18.75,37.5,25,3.125,28.125
1.64,100,18.75,37.5,21.875,3.125,25
1.66,-9.375,43.75,68.75,53.125,0,56.25
1.68,-18.75,50,75,59.375,0,65.625
1.7,-25,53.125,87.5,65.625,-6.25,75
1.72,-28.125,62.5,103.125,78.125,-12.5,93.75
1.74,140.625,34.375,65.625,34.375,-15.625,53.125
1.76,250,28.125,65.625,28.125,-18.75,50
1.78,87.5,59.375,103.125,75,-18.75,112.5
1.8,109.375,75,121.875,87.5,-21.875,128.125
1.82,112.5,90.625,131.25,90.625,-18.75,143.75
1.84,103.125,96.875,128.125,87.5,-12.5,140.625
1.86,109.375,106.25,112.5,78.125,-9.375,125
1.88,84.375,109.375,87.5,62.5,-6.25,106.25
1.9,75,109.375,68.75,53.125,0,78.125
1.92,93.75,125,56.25,59.375,-6.25,81.25
1.94,131.25,143.75,34.375,75,-9.375,103.125
1.96,143.75,137.5,12.5,78.125,-3.125,75
1.98,128.125,128.125,12.5,68.75,0,21.875
2,115.625,118.75,18.75,62.5,3.125,6.25
2.02,146.875,106.25,3.125,78.125,0,9.375
2.04,184.375,78.125,-6.25,96.875,0,12.5
2.06,190.625,53.125,-3.125,106.25,0,3.125
2.08,162.5,31.25,3.125,93.75,3.125,-6.25
2.1,93.75,-12.5,-6.25,71.875,12.5,-12.5
2.12,43.75,-46.875,-12.5,53.125,15.625,-37.5
2.14,9.375,-46.875,-18.75,28.125,12.5,-31.25
2.16,18.75,-21.875,-12.5,21.875,6.25,-21.875
2.18,50,-9.375,-6.25,31.25,0,-6.25
2.2,71.875,3.125,0,37.5,0,3.125
2.22,84.375,15.625,6.25,37.5,-3.125,6.25
2.24,150,40.625,18.75,62.5,-12.5,21.875
2.26,209.375,40.625,25,90.625,-15.625,37.5
2.28,218.75,12.5,28.125,106.25,-12.5,40.625
2.3,196.875,-9.375,25,109.375,-6.25,31.25
2.32,162.5,-18.75,21.875,96.875,-3.125,21.875
2.34,128.125,-3.125,18.75,65.625,0,12.5
2.36,100,12.5,15.625,40.625,3.125,6.25
2.38,96.875,6.25,12.5,31.25,0,3.125
2.4,125,0,9.375,37.5,-3.125,6.25
2.42,134.375,3.125,9.375,34.375,0,9.375
2.44,109.375,3.125,9.375,21.875,0,6.25
2.46,121.875,-6.25,6.25,25,0,3.125
2.48,168.75,-21.875,6.25,43.75,-6.25,9.375
2.5,137.5,-25,9.375,43.75,0,9.375
2.52,50,-12.5,6.25,18.75,6.25,3.125
2.54,3.125,-6.25,-3.125,-3.125,6.25,-3.125
2.56,31.25,-18.75,-9.375,6.25,3.125,-6.25
2.58,78.125,-34.375,-9.375,21.875,0,-3.125
2.6,103.125,-25,-3.125,21.875,-3.125,3.125
2.62,103.125,-12.5,0,6.25,-3.125,0
2.64,125,-21.875,0,15.625,-3.125,3.125
2.66,168.75,-37.5,3.125,34.375,-6.25,6.25
2.68,246.875,-43.75,6.25,34.375,-12.5,9.375
2.7,334.375,-50,12.5,34.375,-18.75,12.5
2.72,343.75,-43.75,18.75,21.875,-15.625,18.75
2.74,265.625,-12.5,18.75,-15.625,-6.25,15.625
2.76,225,-12.5,9.375,-28.125,-6.25,9.375
2.78,240.625,-21.875,9.375,-34.375,-6.25,6.25
2.8,200,-3.125,9.375,-46.875,0,6.25
2.82,131.25,12.5,6.25,-59.375,3.125,0
2.84,118.75,-6.25,3.125,-37.5,3.125,0
2.86,118.75,-18.75,0,-21.875,0,0
2.88,112.5,-25,0,-21.875,0,0
2.9,140.625,-31.25,0,-21.875,-3.125,0
2.92,25,-9.375,0,-6.25,6.25,3.125
2.94,-250,43.75,-18.75,-3.125,21.875,-12.5
2.96,-100,6.25,-196.875,-178.125,43.75,-181.25
2.98,-406.25,31.25,-271.875,-284.375,71.875,81.25
3,-1184.375,109.375,-153.125,-268.75,106.25,187.5
3.02,-1525,-131.25,-265.625,-537.5,115.625,212.5
3.04,-1403.125,-362.5,-293.75,-584.375,106.25,206.25
3.06,-778.125,-290.625,-75,-312.5,90.625,-587.5
3.08,-806.25,-271.875,-184.375,-156.25,59.375,-365.625
3.1,-221.875,21.875,-53.125,-9.375,-6.25,-568.75
3.12,465.625,-159.375,206.25,284.375,-143.75,212.5
3.14,2681.25,-528.125,737.5,2165.625,-528.125,806.25
3.16,590.625,496.875,-390.625,-346.875,237.5,171.875
3.18,-928.125,-918.75,-1181.25,-2300,296.875,593.75
3.2,-1965.625,-646.875,-825,-821.875,171.875,240.625
3.22,-1184.375,-678.125,-946.875,37.5,25,28.125
3.24,-468.75,-265.625,-403.125,84.375,-34.375,6.25
3.26,240.625,25,221.875,68.75,-37.5,-468.75
3.28,668.75,59.375,600,-296.875,-34.375,-800
3.3,81.25,25,62.5,-53.125,-43.75,-28.125
3.32,3.125,21.875,28.125,25,-43.75,34.375
3.34,15.625,400,-156.25,-181.25,-28.125,-181.25
3.36,15.625,206.25,-37.5,-90.625,-15.625,-43.75
3.38,18.75,9.375,15.625,50,-15.625,18.75
3.4,18.75,12.5,31.25,31.25,-15.625,15.625
3.42,18.75,12.5,28.125,28.125,-12.5,15.625
3.44,18.75,15.625,34.375,3.125,-12.5,12.5
3.46,15.625,6.25,18.75,12.5,-12.5,12.5
3.48,15.625,0,9.375,12.5,-12.5,9.375
3.5,15.625,-6.25,0,12.5,-12.5,9.375
3.52,12.5,-9.375,-9.375,9.375,-12.5,9.375
3.54,12.5,-12.5,-12.5,-6.25,-15.625,9.375
3.56,9.375,-18.75,-18.75,-21.875,-21.875,12.5
3.58,6.25,-21.875,-25,-9.375,-21.875,9.375
3.6,6.25,-25,-28.125,3.125,-15.625,9.375
3.62,9.375,-25,-28.125,6.25,-15.625,6.25
3.64,9.375,-21.875,-25,9.375,-15.625,6.25
3.66,9.375,-15.625,-18.75,9.375,-12.5,3.125
3.68,6.25,-12.5,-12.5,6.25,-12.5,3.125
3.7,6.25,-6.25,-6.25,6.25,-9.375,0
3.72,6.25,0,-3.125,6.25,-9.375,0
3.74,6.25,3.125,6.25,6.25,-6.25,0
3.76,6.25,9.375,15.625,6.25,-9.375,-9.375
3.78,6.25,12.5,21.875,6.25,-15.625,-12.5
3.8,6.25,21.875,37.5,6.25,-15.625,-34.375
3.82,6.25,43.75,62.5,6.25,-12.5,-81.25
3.84,6.25,28.125,40.625,3.125,-9.375,-37.5
3.86,-50,43.75,59.375,3.125,-3.125,-31.25
3.88,6.25,3.125,6.25,3.125,0,9.375
3.9,6.25,9.375,12.5,3.125,-3.125,6.25
3.92,3.125,15.625,18.75,3.125,-3.125,9.375
3.94,3.125,18.75,28.125,3.125,-3.125,3.125
3.96,3.125,28.125,37.5,3.125,-3.125,0
3.98,9.375,31.25,37.5,6.25,3.125,40.625
4,12.5,28.125,34.375,6.25,3.125,40.625
4.02,6.25,34.375,43.75,3.125,0,-25
4.04,3.125,15.625,21.875,3.125,-6.25,6.25
4.06,3.125,15.625,25,0,-6.25,3.125
4.08,3.125,18.75,28.125,0,-6.25,0
4.1,0,-31.25,-40.625,0,-9.375,131.25
4.12,3.125,31.25,40.625,3.125,-6.25,-28.125
4.14,3.125,18.75,25,3.125,-6.25,6.25
4.16,6.25,34.375,50,6.25,-3.125,-50
4.18,3.125,6.25,9.375,3.125,-3.125,34.375
4.2,6.25,25,34.375,3.125,-3.125,9.375
4.22,3.125,18.75,28.125,3.125,-3.125,12.5
4.24,3.125,12.5,18.75,3.125,-3.125,21.875
4.26,0,15.625,21.875,3.125,-6.25,0
4.28,0,12.5,18.75,0,-6.25,6.25
4.3,0,12.5,12.5,0,-6.25,12.5
4.32,0,3.125,3.125,0,-6.25,31.25
4.34,0,12.5,15.625,3.125,-6.25,0
4.36,0,9.375,15.625,0,-3.125,-9.375
4.38,6.25,-3.125,-6.25,3.125,0,3.125
4.4,9.375,-6.25,-6.25,3.125,3.125,-6.25
4.42,12.5,-21.875,-31.25,3.125,3.125,21.875
4.44,15.625,12.5,12.5,3.125,6.25,-71.875
4.46,12.5,0,0,-59.375,3.125,28.125
4.48,12.5,0,0,-31.25,3.125,0
4.5,9.375,-3.125,-3.125,-6.25,0,-15.625
4.52,6.25,-3.125,-3.125,-6.25,0,-3.125
4.54,6.25,9.375,12.5,12.5,0,-50
4.56,6.25,-3.125,-3.125,-6.25,-3.125,3.125
4.58,3.125,-3.125,-6.25,-6.25,-3.125,9.375
4.6,3.125,-3.125,-6.25,6.25,-3.125,0
4.62,0,0,0,-9.375,-3.125,3.125
4.64,0,-3.125,-3.125,6.25,-3.125,0
4.66,0,0,3.125,3.125,-3.125,-6.25
4.68,0,-12.5,-15.625,3.125,-6.25,31.25
4.7,0,25,34.375,3.125,-6.25,-62.5
4.72,-3.125,3.125,6.25,3.125,-6.25,0
4.74,-3.125,3.125,3.125,3.125,-6.25,0
4.76,-3.125,0,0,0,-6.25,12.5
4.78,-3.125,0,0,3.125,-6.25,12.5
4.8,-6.25,3.125,6.25,3.125,-6.25,0
4.82,-6.25,3.125,6.25,0,-6.25,3.125
4.84,-3.125,3.125,6.25,3.125,-6.25,6.25
4.86,-6.25,3.125,3.125,3.125,-6.25,6.25
4.88,-6.25,-3.125,0,0,-6.25,15.625
4.9,-3.125,3.125,3.125,3.125,-6.25,3.125
4.92,-3.125,9.375,12.5,3.125,-3.125,-21.875
4.94,-3.125,6.25,9.375,3.125,-6.25,-3.125
4.96,-6.25,6.25,9.375,0,-6.25,0
4.98,-3.125,6.25,6.25,0,-6.25,0
5,-3.125,3.125,6.25,0,-6.25,0
5.02,-3.125,3.125,6.25,3.125,-6.25,3.125
5.04,-3.125,0,0,0,-6.25,12.5
5.06,-3.125,3.125,3.125,3.125,-6.25,6.25
5.08,-3.125,6.25,9.375,3.125,-6.25,-6.25
5.1,-3.125,0,3.125,0,-6.25,3.125
5.12,-3.125,0,3.125,0,-6.25,3.125
5.14,-3.125,0,3.125,0,-6.25,3.125
5.16,-3.125,3.125,3.125,0,-6.25,3.125
5.18,-3.125,0,0,0,-6.25,3.125
5.2,-3.125,0,3.125,0,-3.125,0
5.22,-3.125,0,0,0,-6.25,0
5.24,-3.125,0,0,0,-3.125,0
5.26,-3.125,0,0,0,-3.125,0
5.28,-3.125,0,0,0,-3.125,0
5.3,-3.125,0,3.125,0,-3.125,0
5.32,-3.125,0,0,0,-3.125,0
5.34,-3.125,0,0,0,-6.25,0
5.36,-3.125,0,3.125,0,-6.25,0
5.38,-3.125,0,0,0,-6.25,0
5.4,-3.125,0,3.125,0,-3.125,3.125
5.42,-3.125,0,0,0,-3.125,0
5.44,-3.125,0,0,0,-6.25,0
5.46,-3.125,0,0,0,-6.25,0
5.48,-3.125,0,0,0,-3.125,3.125
5.5,-3.125,0,0,0,-3.125,3.125
5.52,-3.125,0,0,0,-3.125,3.125
5.54,-3.125,0,0,0,-6.25,3.125
5.56,-3.125,0,0,0,-3.125,3.125
5.58,-3.125,0,0,0,-3.125,0
5.6,-3.125,0,3.125,0,-3.125,0
5.62,-3.125,0,0,0,-3.125,0
5.64,-3.125,0,3.125,0,-3.125,0
5.66,-3.125,0,0,0,-3.125,3.125
5.68,-3.125,0,0,0,-3.125,3.125
5.7,-3.125,0,3.125,0,-3.125,0
5.72,-3.125,0,3.125,0,-3.125,0
5.74,-3.125,0,3.125,0,-3.125,0
5.76,-3.125,0,3.125,0,-3.125,0
5.78,-3.125,0,0,0,-3.125,0
5.8,-3.125,0,3.125,0,-3.125,0
5.82,-3.125,0,0,0,-6.25,0
5.84,-3.125,0,0,0,-3.125,3.125
5.86,-3.125,0,3.125,0,-3.125,0
