Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,-3.125,0,0,-3.125,0
0.02,-3.125,-3.125,-3.125,-3.125,-3.125,-3.125
0.04,0,-3.125,0,-3.125,-3.125,0
0.06,0,0,0,-3.125,0,0
0.08,-3.125,0,0,0,-3.125,0
0.1,0,-3.125,0,0,0,0
0.12,-3.125,-3.125,3.125,-3.125,-3.125,3.125
0.14,-3.125,0,9.375,-3.125,-3.125,9.375
0.16,-3.125,0,6.25,-3.125,0,6.25
0.18,-3.125,0,3.125,-3.125,-3.125,3.125
0.2,-6.25,-3.125,-3.125,-6.25,-6.25,-3.125
0.22,-9.375,-6.25,-3.125,-9.375,-9.375,-3.125
0.24,-12.5,-3.125,12.5,-9.375,-6.25,15.625
0.26,-9.375,0,6.25,-3.125,-3.125,12.5
0.28,-6.25,-3.125,0,0,-3.125,3.125
0.3,-3.125,-3.125,-6.25,0,-6.25,-3.125
0.32,-3.125,-6.25,-9.375,-3.125,-9.375,-6.25
0.34,-3.125,-6.25,-6.25,-6.25,-9.375,-3.125
0.36,-3.125,-6.25,-3.125,-6.25,-9.375,0
0.38,0,-6.25,-3.125,-3.125,-9.375,0
0.4,0,-6.25,0,-6.25,-6.25,0
0.42,0,-3.125,3.125,-3.125,-6.25,3.125
0.44,-3.125,-3.125,0,-6.25,-6.25,3.125
0.46,-3.125,-3.125,3.125,-6.25,-3.125,3.125
0.48,-3.125,-3.125,6.25,-3.125,-3.125,6.25
0.5,-3.125,-3.125,3.125,-3.125,-3.125,3.125
0.52,-3.125,0,3.125,-3.125,-3.125,3.125
0.54,-6.25,0,3.125,-3.125,-3.125,3.125
0.56,-6.25,0,0,-3.125,0,3.125
0.58,-3.125,0,0,0,0,3.125
0.6,-3.125,-3.125,0,0,0,3.125
0.62,-3.125,0,0,0,0,3.125
0.64,-3.125,0,0,0,0,0
0.66,0,0,-3.125,0,-3.125,0
0.68,0,0,-3.125,0,0,0
0.7,0,0,0,0,0,0
0.72,0,-3.125,0,0,0,0
0.74,3.125,-3.125,0,3.125,0,3.125
0.76,3.125,-3.125,0,3.125,0,0
0.78,3.125,0,0,3.125,0,0
0.8,3.125,0,-3.125,0,0,-3.125
0.82,3.125,0,0,0,0,-3.125
0.84,0,0,-3.125,0,-3.125,0
0.86,0,0,0,0,-3.125,0
0.88,0,-3.125,0,0,-3.125,0
0.9,0,-3.125,0,0,0,0
0.92,0,-3.125,3.125,-3.125,0,0
0.94,-3.125,-3.125,6.25,-3.125,-3.125,9.375
0.96,-3.125,-3.125,12.5,-3.125,-3.125,12.5
0.98,-3.125,-3.125,15.625,-3.125,-3.125,21.875
1,-3.125,-3.125,18.75,-6.25,-3.125,21.875
1.02,-3.125,-3.125,18.75,-6.25,-3.125,21.875
1.04,-3.125,-3.125,18.75,-6.25,-3.125,21.875
1.06,-3.125,-3.125,21.875,-3.125,-3.125,25
1.08,0,-3.125,25,0,-18.75,31.25
1.1,6.25,-3.125,28.125,-18.75,-50,34.375
1.12,9.375,-9.375,28.125,-34.375,-62.5,37.5
1.14,6.25,-12.5,12.5,-9.375,-37.5,18.75
1.16,3.125,-12.5,-3.125,9.375,-12.5,3.125
1.18,6.25,-9.375,-12.5,18.75,-3.125,-9.375
1.2,9.375,-6.25,-6.25,18.75,3.125,-25
1.22,18.75,-6.25,-18.75,18.75,3.125,-18.75
1.24,18.75,-3.125,18.75,18.75,6.25,-65.625
1.26,9.375,-6.25,-28.125,9.375,3.125,6.25
1.28,12.5,-3.125,-25,12.5,6.25,-15.625
1.3,15.625,0,25,15.625,6.25,-90.625
1.32,12.5,-3.125,-96.875,12.5,3.125,50
1.34,6.25,-3.125,-15.625,9.375,3.125,-28.125
1.36,0,-3.125,-18.75,6.25,3.125,0
1.38,-3.125,-3.125,-3.125,3.125,3.125,-3.125
1.4,-6.25,-3.125,-3.125,3.125,3.125,-3.125
1.42,-6.25,-3.125,-6.25,6.25,3.125,-9.375
1.44,-3.125,-3.125,-6.25,6.25,3.125,-9.375
1.46,0,-3.125,-6.25,0,3.125,-6.25
1.48,6.25,-3.125,-3.125,3.125,3.125,-3.125
1.5,0,-3.125,-3.125,0,0,0
1.52,-3.125,0,3.125,-3.125,0,3.125
1.54,0,0,59.375,-3.125,0,-65.625
1.56,-3.125,0,-3.125,-6.25,0,9.375
1.58,-3.125,0,25,-6.25,0,-15.625
1.6,0,3.125,-56.25,-31.25,0,90.625
1.62,3.125,65.625,-12.5,-40.625,0,-6.25
1.64,0,184.375,-100,-9.375,3.125,-3.125
1.66,21.875,59.375,53.125,25,6.25,18.75
1.68,0,28.125,56.25,3.125,6.25,-3.125
1.7,-18.75,40.625,43.75,-12.5,3.125,-18.75
1.72,-21.875,-71.875,171.875,-18.75,3.125,-28.125
1.74,-34.375,75,96.875,-31.25,3.125,-40.625
1.76,-43.75,128.125,112.5,-43.75,3.125,-50
1.78,-43.75,-12.5,296.875,-46.875,0,-53.125
1.8,-50,181.25,150,-53.125,0,-56.25
1.82,-46.875,262.5,59.375,-53.125,6.25,-50
1.84,-31.25,162.5,96.875,-34.375,9.375,-34.375
1.86,-18.75,71.875,87.5,-12.5,9.375,-15.625
1.88,-25,68.75,78.125,-18.75,9.375,-18.75
1.9,-43.75,84.375,96.875,-31.25,12.5,-34.375
1.92,-34.375,53.125,59.375,-15.625,15.625,-21.875
1.94,-6.25,0,0,9.375,18.75,-3.125
1.96,18.75,-84.375,-15.625,28.125,15.625,12.5
1.98,25,-9.375,-118.75,28.125,12.5,18.75
2,21.875,-12.5,-118.75,21.875,12.5,15.625
2.02,18.75,-12.5,-78.125,12.5,9.375,9.375
2.04,21.875,-12.5,-62.5,15.625,9.375,9.375
2.06,25,-15.625,-87.5,25,6.25,18.75
2.08,34.375,-181.25,3.125,40.625,3.125,31.25
2.1,34.375,-106.25,-118.75,46.875,3.125,34.375
2.12,31.25,-96.875,-121.875,43.75,0,31.25
2.14,12.5,-9.375,-9.375,9.375,-3.125,0
2.16,0,46.875,65.625,-12.5,0,-15.625
2.18,-6.25,78.125,106.25,-21.875,0,-21.875
2.2,-9.375,93.75,128.125,-25,0,-25
2.22,-18.75,115.625,156.25,-34.375,0,-28.125
2.24,-25,143.75,193.75,-43.75,0,-37.5
2.26,-28.125,153.125,209.375,-43.75,3.125,-37.5
2.28,-31.25,159.375,215.625,-46.875,3.125,-37.5
2.3,-31.25,171.875,231.25,-50,0,-37.5
2.32,-37.5,193.75,262.5,-56.25,0,-43.75
2.34,-37.5,218.75,296.875,-65.625,0,-50
2.36,-34.375,218.75,293.75,-59.375,3.125,-46.875
2.38,-31.25,203.125,275,-50,3.125,-40.625
2.4,-25,184.375,250,-40.625,3.125,-31.25
2.42,-15.625,156.25,215.625,-28.125,3.125,-21.875
2.44,-6.25,121.875,165.625,-12.5,6.25,-9.375
2.46,3.125,81.25,106.25,3.125,9.375,3.125
2.48,3.125,75,100,3.125,6.25,3.125
2.5,-6.25,106.25,143.75,-9.375,3.125,-9.375
2.52,-12.5,143.75,190.625,-21.875,3.125,-21.875
2.54,-18.75,165.625,218.75,-31.25,0,-28.125
2.56,-15.625,168.75,212.5,-28.125,3.125,-25
2.58,-9.375,156.25,187.5,-18.75,6.25,-18.75
2.6,-12.5,165.625,193.75,-21.875,6.25,-21.875
2.62,-15.625,187.5,218.75,-28.125,3.125,-25
2.64,-15.625,206.25,218.75,-31.25,6.25,-28.125
2.66,-15.625,228.125,203.125,-31.25,6.25,-28.125
2.68,-15.625,253.125,181.25,-31.25,9.375,-25
2.7,-15.625,262.5,153.125,-25,9.375,-21.875
2.72,-9.375,256.25,112.5,-18.75,12.5,-15.625
2.74,-3.125,246.875,65.625,-9.375,15.625,-9.375
2.76,-3.125,243.75,34.375,-3.125,15.625,-6.25
2.78,0,228.125,21.875,0,15.625,-3.125
2.8,6.25,193.75,6.25,6.25,15.625,3.125
2.82,12.5,150,-21.875,18.75,18.75,12.5
2.84,15.625,109.375,-43.75,25,18.75,18.75
2.86,15.625,96.875,-40.625,25,15.625,15.625
2.88,15.625,87.5,-43.75,25,15.625,15.625
2.9,12.5,90.625,-53.125,21.875,12.5,15.625
2.92,9.375,115.625,-50,15.625,12.5,9.375
2.94,9.375,118.75,-43.75,15.625,12.5,9.375
2.96,6.25,146.875,-37.5,6.25,9.375,6.25
2.98,-3.125,212.5,-31.25,-6.25,6.25,-6.25
3,-9.375,287.5,-31.25,-18.75,6.25,-15.625
3.02,-12.5,328.125,-43.75,-21.875,9.375,-15.625
3.04,-12.5,343.75,-68.75,-18.75,12.5,-15.625
3.06,-15.625,371.875,-87.5,-21.875,12.5,-15.625
3.08,-18.75,437.5,-109.375,-28.125,12.5,-21.875
3.1,-25,509.375,-140.625,-34.375,15.625,-25
3.12,-21.875,531.25,-168.75,-31.25,18.75,-21.875
3.14,-18.75,506.25,-187.5,-21.875,18.75,-15.625
3.16,-12.5,475,-206.25,-12.5,21.875,-9.375
3.18,-12.5,465.625,-218.75,-9.375,21.875,-6.25
3.2,-12.5,465.625,-228.125,-9.375,21.875,-6.25
3.22,-12.5,443.75,-218.75,-9.375,21.875,-6.25
3.24,-6.25,368.75,-193.75,0,25,3.125
3.26,0,284.375,-165.625,9.375,25,9.375
3.28,3.125,234.375,-153.125,15.625,21.875,12.5
3.3,3.125,240.625,-156.25,12.5,18.75,9.375
3.32,6.25,156.25,-118.75,21.875,18.75,15.625
3.34,25,-93.75,-28.125,46.875,21.875,34.375
3.36,34.375,-225,9.375,59.375,18.75,43.75
3.38,37.5,-278.125,21.875,62.5,12.5,46.875
3.4,37.5,-300,25,62.5,9.375,43.75
3.42,40.625,-368.75,53.125,65.625,6.25,46.875
3.44,43.75,-421.875,68.75,68.75,3.125,50
3.46,40.625,-381.25,53.125,62.5,0,43.75
3.48,31.25,-284.375,21.875,46.875,-3.125,31.25
3.5,25,-215.625,3.125,34.375,-3.125,25
3.52,25,-187.5,-6.25,31.25,-3.125,21.875
3.54,21.875,-140.625,-28.125,25,-3.125,15.625
3.56,15.625,-100,-37.5,18.75,-3.125,12.5
3.58,18.75,-168.75,-6.25,28.125,-3.125,18.75
3.6,34.375,-365.625,68.75,50,0,34.375
3.62,56.25,-675,168.75,84.375,3.125,62.5
3.64,96.875,-1168.75,303.125,146.875,6.25,106.25
3.66,159.375,-1831.25,353.125,243.75,12.5,175
3.68,225,-2281.25,9.375,353.125,21.875,250
3.7,262.5,-2196.875,-731.25,421.875,28.125,303.125
3.72,246.875,-1768.75,-1306.25,400,18.75,300
3.74,190.625,-1312.5,-1418.75,300,-3.125,246.875
3.76,112.5,-603.125,-1534.375,168.75,-21.875,171.875
3.78,46.875,187.5,-1331.25,50,-25,-225
3.8,-259.375,262.5,62.5,-571.875,-25,-228.125
3.82,-165.625,159.375,18.75,-103.125,-68.75,-59.375
3.84,275,-28.125,390.625,200,-178.125,234.375
3.86,1328.125,-550,1971.875,975,-559.375,1143.75
3.88,687.5,-971.875,1618.75,915.625,25,2325
3.9,475,-3643.75,-2878.125,1131.25,387.5,1053.125
3.92,-1896.875,-1009.375,-1065.625,490.625,193.75,228.125
3.94,-812.5,-443.75,-612.5,25,21.875,0
3.96,21.875,6.25,-50,-171.875,-34.375,-31.25
3.98,-68.75,84.375,56.25,-150,-34.375,-28.125
4,109.375,109.375,981.25,-118.75,-15.625,-1093.75
4.02,9.375,62.5,643.75,-956.25,-43.75,500
4.04,-6.25,31.25,115.625,-153.125,-53.125,96.875
4.06,-25,653.125,-331.25,-106.25,-34.375,-481.25
4.08,-6.25,46.875,146.875,-78.125,-28.125,-84.375
4.1,0,-15.625,143.75,-65.625,-25,-28.125
4.12,6.25,-6.25,87.5,-56.25,-21.875,-18.75
4.14,9.375,3.125,28.125,-46.875,-18.75,-12.5
4.16,12.5,12.5,-25,-34.375,-15.625,-6.25
4.18,15.625,15.625,-56.25,-28.125,-15.625,-3.125
4.2,12.5,15.625,-62.5,-25,-15.625,0
4.22,12.5,15.625,-56.25,-25,-15.625,0
4.24,12.5,12.5,-46.875,-25,-18.75,0
4.26,12.5,12.5,-43.75,-21.875,-15.625,3.125
4.28,12.5,15.625,-53.125,-18.75,-15.625,3.125
4.3,12.5,12.5,-59.375,-15.625,-15.625,3.125
4.32,9.375,9.375,-40.625,-15.625,-15.625,0
4.34,6.25,12.5,-12.5,-18.75,-12.5,-3.125
4.36,9.375,12.5,-31.25,-12.5,-12.5,0
4.38,15.625,12.5,-103.125,0,-12.5,9.375
4.4,15.625,12.5,-109.375,0,-12.5,12.5
4.42,12.5,9.375,-84.375,0,-12.5,9.375
4.44,9.375,9.375,-46.875,-9.375,-12.5,3.125
4.46,3.125,9.375,-15.625,-15.625,-12.5,-3.125
4.48,3.125,9.375,-3.125,-15.625,-9.375,-6.25
4.5,3.125,9.375,-3.125,-15.625,-9.375,-6.25
4.52,3.125,9.375,6.25,-15.625,-9.375,-6.25
4.54,0,9.375,31.25,-21.875,-9.375,-12.5
4.56,9.375,9.375,-31.25,-6.25,-6.25,3.125
4.58,18.75,9.375,-103.125,6.25,-6.25,12.5
4.6,15.625,6.25,-68.75,0,-9.375,6.25
4.62,6.25,6.25,-21.875,-9.375,-9.375,-3.125
4.64,3.125,6.25,0,-12.5,-6.25,-6.25
4.66,3.125,6.25,-6.25,-12.5,-6.25,-6.25
4.68,9.375,6.25,-12.5,-9.375,-6.25,-3.125
4.7,9.375,6.25,-9.375,-9.375,-6.25,-3.125
4.72,3.125,6.25,6.25,-12.5,-6.25,-6.25
4.74,-3.125,6.25,37.5,-18.75,-6.25,-9.375
4.76,3.125,3.125,65.625,-12.5,-6.25,-3.125
4.78,3.125,6.25,65.625,-12.5,-3.125,-6.25
4.8,0,9.375,56.25,-21.875,-3.125,-21.875
4.82,3.125,12.5,81.25,-28.125,3.125,-62.5
4.84,0,12.5,40.625,-31.25,0,-43.75
4.86,-3.125,6.25,-18.75,-15.625,-3.125,-15.625
4.88,0,6.25,-68.75,-6.25,-3.125,-6.25
4.9,0,6.25,-90.625,-6.25,-3.125,-3.125
4.92,3.125,6.25,-125,-3.125,-3.125,0
4.94,0,6.25,-178.125,-3.125,0,3.125
4.96,-3.125,3.125,-187.5,-3.125,-3.125,0
4.98,-6.25,3.125,-159.375,-6.25,-6.25,-6.25
5,-9.375,0,-121.875,-9.375,-6.25,-6.25
5.02,-9.375,0,-87.5,-9.375,-9.375,-9.375
5.04,-9.375,0,-65.625,-12.5,-9.375,-6.25
5.06,-9.375,0,-50,-12.5,-9.375,-6.25
5.08,-9.375,0,-37.5,-12.5,-6.25,-6.25
5.1,-9.375,0,-28.125,-12.5,-6.25,-9.375
5.12,-9.375,0,-21.875,-12.5,-6.25,-9.375
5.14,-12.5,0,-12.5,-15.625,-6.25,-12.5
5.16,-15.625,3.125,-3.125,-15.625,-6.25,-15.625
5.18,-15.625,0,-3.125,-18.75,-6.25,-18.75
5.2,-12.5,0,-6.25,-15.625,-6.25,-15.625
5.22,-9.375,0,-6.25,-15.625,-9.375,-12.5
5.24,-6.25,0,6.25,-15.625,-6.25,-9.375
5.26,-3.125,0,9.375,-15.625,-6.25,-12.5
5.28,-3.125,0,15.625,-15.625,-6.25,-12.5
5.3,-3.125,0,18.75,-15.625,-6.25,-9.375
5.32,0,0,12.5,-12.5,-6.25,-6.25
5.34,3.125,0,9.375,-9.375,-9.375,0
5.36,6.25,-3.125,-6.25,-9.375,-6.25,3.125
5.38,6.25,0,-12.5,-9.375,-6.25,3.125
5.4,3.125,-3.125,-3.125,-9.375,-9.375,3.125
5.42,3.125,-3.125,6.25,-9.375,-6.25,0
5.44,0,0,9.375,-6.25,-6.25,-3.125
5.46,0,0,3.125,-6.25,-6.25,-3.125
5.48,0,0,3.125,-6.25,-6.25,-3.125
5.5,0,-3.125,3.125,-6.25,-6.25,-3.125
5.52,3.125,-3.125,9.375,-9.375,-9.375,0
5.54,3.125,-3.125,18.75,-6.25,-6.25,0
5.56,6.25,0,21.875,-6.25,-6.25,0
5.58,6.25,-3.125,18.75,-6.25,-6.25,0
5.6,6.25,-3.125,18.75,-6.25,-6.25,0
5.62,6.25,-3.125,40.625,-6.25,-6.25,-28.125
5.64,28.125,15.625,756.25,6.25,12.5,-840.625
5.66,6.25,0,75,-6.25,0,-78.125
5.68,3.125,0,9.375,-6.25,0,6.25
5.7,0,0,6.25,-3.125,0,9.375
5.72,0,0,6.25,-3.125,0,9.375
5.74,0,0,6.25,-3.125,0,9.375
5.76,0,0,9.375,-3.125,0,9.375
5.78,0,0,9.375,-6.25,0,9.375
5.8,0,0,9.375,-6.25,-3.125,9.375
5.82,0,0,9.375,-6.25,0,9.375
5.84,0,0,9.375,-6.25,0,9.375
5.86,0,0,9.375,-6.25,-3.125,9.375
5.88,0,0,9.375,-6.25,-3.125,12.5
5.9,3.125,0,9.375,-6.25,-3.125,12.5
5.92,0,0,9.375,-6.25,-3.125,12.5
5.94,0,0,9.375,-3.125,-3.125,12.5
5.96,0,0,9.375,-3.125,-3.125,12.5
5.98,0,0,9.375,-6.25,-3.125,9.375
6,0,0,9.375,-3.125,-3.125,9.375
6.02,0,0,9.375,-3.125,-3.125,9.375
6.04,0,0,9.375,-3.125,-3.125,9.375
6.06,0,0,9.375,-6.25,-3.125,9.375
6.08,0,0,9.375,-6.25,-3.125,9.375
6.1,0,0,9.375,-6.25,-3.125,9.375
6.12,0,-3.125,9.375,-6.25,-3.125,6.25
6.14,0,0,9.375,-6.25,-3.125,9.375
6.16,0,0,9.375,-6.25,-3.125,9.375
6.18,0,0,9.375,-3.125,-3.125,9.375
6.2,0,-3.125,9.375,-6.25,-3.125,9.375
6.22,0,-3.125,9.375,-6.25,-3.125,9.375
6.24,0,0,9.375,-3.125,-3.125,9.375
6.26,0,0,9.375,-6.25,-3.125,9.375
6.28,0,0,9.375,-6.25,-3.125,9.375
6.3,0,0,9.375,-3.125,-3.125,9.375
6.32,0,-3.125,9.375,-6.25,-3.125,6.25
6.34,0,0,9.375,-6.25,-3.125,6.25
6.36,0,0,9.375,-3.125,-3.125,6.25
6.38,0,-3.125,9.375,-6.25,-3.125,6.25
6.4,0,0,9.375,-6.25,-3.125,6.25
6.42,0,0,9.375,-3.125,-3.125,9.375
6.44,0,0,9.375,-3.125,-3.125,9.375
6.46,0,-3.125,9.375,-3.125,-3.125,6.25
6.48,0,-3.125,9.375,-6.25,-3.125,6.25
6.5,0,-3.125,9.375,-6.25,-3.125,9.375
6.52,0,-3.125,9.375,-3.125,-3.125,9.375
6.54,0,0,9.375,-3.125,-3.125,9.375
6.56,0,-3.125,9.375,-3.125,-3.125,9.375
6.58,0,-3.125,9.375,-3.125,-3.125,9.375
6.6,0,-3.125,9.375,-3.125,-3.125,9.375
6.62,0,-3.125,9.375,-3.125,-3.125,9.375
6.64,0,-3.125,9.375,-3.125,-3.125,9.375
6.66,0,-3.125,9.375,-3.125,-3.125,6.25
6.68,0,-3.125,9.375,-3.125,-3.125,9.375
6.7,0,-3.125,9.375,-3.125,-3.125,9.375
6.72,0,-3.125,9.375,-3.125,-3.125,9.375
6.74,0,0,9.375,-3.125,-3.125,9.375
6.76,0,0,9.375,-3.125,-3.125,9.375
6.78,0,-3.125,9.375,-3.125,-3.125,9.375
6.8,0,0,6.25,-3.125,-3.125,6.25
6.82,0,-3.125,6.25,-3.125,-3.125,6.25
6.84,0,-3.125,6.25,-3.125,-3.125,6.25
6.86,0,-3.125,6.25,-6.25,-3.125,6.25
6.88,0,-3.125,6.25,-6.25,-3.125,6.25
6.9,0,-3.125,6.25,-3.125,-3.125,6.25
6.92,0,-3.125,6.25,-3.125,-3.125,6.25
6.94,0,-3.125,6.25,-3.125,-3.125,6.25
6.96,0,-3.125,6.25,-3.125,-3.125,6.25
6.98,0,-3.125,6.25,-3.125,-3.125,9.375
7,0,-3.125,6.25,-3.125,-3.125,6.25
7.02,0,-3.125,6.25,-3.125,-3.125,6.25
7.04,0,-3.125,6.25,-3.125,-3.125,6.25
7.06,0,-3.125,6.25,-3.125,-3.125,6.25
